EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1155403,NORTHERN BERKSHIRE (ZONE), ,01/06/2024,1600,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,188117,Z,1,ALY,0,0,Trained Spotter, , , , , , , , ,01/07/2024,1900, , , , ,,"An area of low pressure slowly tracking up and just off the East Coast brought widespread moderate to heavy snow across western Massachusetts on January 6-7, 2024. Snowfall totals were generally between 5 and 10 inches with localized areas around a foot. Snow Emergencies were declared for some municipalities.||Key impacts: travel delays.",1
1155404,SOUTHERN BERKSHIRE (ZONE), ,01/06/2024,1600,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,188117,Z,25,ALY,0,0,Trained Spotter, , , , , , , , ,01/07/2024,1900, , , , ,,"An area of low pressure slowly tracking up and just off the East Coast brought widespread moderate to heavy snow across western Massachusetts on January 6-7, 2024. Snowfall totals were generally between 5 and 10 inches with localized areas around a foot. Snow Emergencies were declared for some municipalities.||Key impacts: travel delays.",2
1147150,EASTERN FRANKLIN (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,3,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1700, , , , ,Generally 8 to 15 inches of snow fell. Some higher amounts included 15 inches in Montague and 10.2 inches in New Salem.,A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,3
1147157,EASTERN HAMPSHIRE (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,10,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1700, , , , ,"Generally 10 to 15 inches of snow fell. Some accumulations included 14.8 inches in South Hadley, 13.1 inches in Granby, and 12.5 inches in Easthampton.",A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,4
1147149,WESTERN FRANKLIN (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,2,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1600, , , , ,Generally 8 to 14 inches of snow fell. Some snowfall reports included 14 inches in Hawley and 12 inches in Colrain.,A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,5
1147158,EASTERN HAMPDEN (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,11,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1700, , , , ,"Generally 11 to 15 inches of snow fell. Some accumulations included 14.5 inches in Southwick, 14 inches in West Springfield, and 13.5 inches in Palmer.",A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,6
1147156,WESTERN HAMPDEN (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,9,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1600, , , , ,Generally 11 to 14 inches of snow fell.,A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,7
1147155,WESTERN HAMPSHIRE (ZONE), ,01/06/2024,2300,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,8,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1600, , , , ,"Generally 10 to 12.5 inches of snow fell. Some accumulations included 12.5 inches in Westhampton, 12 inches in Plainfield, and 10 inches in Chesterfield.",A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,8
1147151,NORTHERN WORCESTER (ZONE), ,01/07/2024,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,4,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,1900, , , , ,"Generally 9 to 17.5 inches of snow fell. Some accumulations included 17.5 inches in Ashburnham, 17.4 inches in Leominster, and 16.5 inches in Fitchburg.",A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,9
1147159,SOUTHERN WORCESTER (ZONE), ,01/07/2024,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,186892,Z,12,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2024,2000, , , , ,"Generally 7 to 15 inches of snow fell. Some accumulations included 15.5 inches at the Worcester Airport, 14.6 inches in Westborough, and 13.2 inches in Charlton.",A strong storm moved up the east coast passing near the 70/40 benchmark brought heavy snow to southern New England beginning late Monday night and continuing on Sunday. The first round of heavy snow fell overnight followed by a lull in the snow and mixing with rain Sunday morning. Comma head snow then filled back into eastern MA and RI bringing moderate to heavy snow Sunday afternoon and evening. Snow amounts ranged from 2 to 18 inches.,10
