EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
852468,WORCESTER CO.,WEST SUTTON,09/02/2019,1636,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,27,BOX,0,0,Amateur Radio,Heavy Rain, , ,2,WSW,2,WSW,WEST SUTTON,09/02/2019,1636,42.1104,-71.8332,42.1103,-71.8321,"In Oxford, a portion of Sutton Avenue was closed due to flooding.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",1
852467,MIDDLESEX CO.,MARLBOROUGH,09/02/2019,1636,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,0,SSW,0,SSW,MARLBOROUGH,09/02/2019,1636,42.3469,-71.5518,42.3469,-71.5514,"In Marlborough, Prospect Street at Main Street was flooded.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",2
852469,WORCESTER CO.,WHITINSVILLE,09/02/2019,1648,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,27,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,SSE,1,SSE,WHITINSVILLE,09/02/2019,1648,42.1122,-71.6636,42.1124,-71.6632,"In the Whitinsville section of Northbridge, Park Street at Cottage Street was flooded and impassable for a time.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",3
852470,WORCESTER CO.,MILFORD,09/02/2019,1655,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,27,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,SSE,1,SSE,MILFORD,09/02/2019,1655,42.1398,-71.516,42.1399,-71.5155,"In Milford, Central Street at South Bow and North Bow Street was closed for a time due to flooding.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",4
852471,MIDDLESEX CO.,ROBERTS,09/02/2019,1725,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,0,ENE,0,ENE,ROBERTS,09/02/2019,1725,42.3723,-71.2446,42.3724,-71.2444,"In Waltham, a car was stuck in flooding at Felton Street and Fern Street.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",5
852472,MIDDLESEX CO.,CLEMATIS BROOK,09/02/2019,1732,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,NE,1,NE,CLEMATIS BROOK,09/02/2019,1732,42.3861,-71.1911,42.3866,-71.1885,"In Belmont, Sycamore Street between White Street and Lexington Street was flooded and impassable for a time.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",6
852473,MIDDLESEX CO.,OAK GROVE,09/02/2019,1733,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,ESE,1,ESE,OAK GROVE,09/02/2019,1733,42.4479,-71.0584,42.448,-71.058,"In Melrose, a car was stuck in flooding on Lebanon Street at Sylvan Street.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",7
852474,MIDDLESEX CO.,TUFTS COLLEGE,09/02/2019,1737,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,0,NE,0,ENE,TUFTS COLLEGE,09/02/2019,1737,42.4032,-71.1135,42.4033,-71.113,"In Medford, flooding was reported at the Harvard Street Bridge near the Winchester line.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",8
852475,MIDDLESEX CO.,WEST MEDFORD,09/02/2019,1743,Flood, , ,0,0,0,0,MA,EST-5, ,142003,C,17,BOX,0,0,Amateur Radio,Heavy Rain, , ,0,SW,0,SW,WEST MEDFORD,09/02/2019,1743,42.4272,-71.1352,42.4272,-71.134,"In West Medford, a car was stuck in street flooding on Playstead Road.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",9
852476,ESSEX CO.,EAST LYNN,09/02/2019,1750,Flood, , ,0,0,10000,0,MA,EST-5, ,142003,C,9,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,NE,1,WSW,FOREST RIVER,09/02/2019,1750,42.4757,-70.9194,42.4752,-70.9142,"In Swampscott, several cars were stuck in street flooding on Paradise Road (Route 1A). |Also, a car was stuck at the intersection of Stetson Avenue and Norfolk Avenue.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",10
852477,ESSEX CO.,LYNN COMMON,09/02/2019,1842,Flood, , ,0,0,500,0,MA,EST-5, ,142003,C,9,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,N,1,N,LYNN COMMON,09/02/2019,1842,42.4649,-70.9717,42.4649,-70.9713,"In Lynn, a bus was stuck in street flooding on Boston Street at Childs Street.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",11
852479,PLYMOUTH CO.,BROCKTON HGTS,09/02/2019,1905,Flood, , ,0,0,1000,0,MA,EST-5, ,142003,C,23,BOX,0,0,Amateur Radio,Heavy Rain, , ,1,NE,1,NE,BROCKTON HGTS,09/02/2019,1905,42.0932,-71.0547,42.0919,-71.0518,"In Brockton, cars were stuck in street flooding on Westgate Drive.  A manhole cover came off and flooded a portion of Rockland Street.","A cold front approaching the area triggered showers and embedded thunderstorms, with locally heavy rainfall.  This led to street flooding in Massachusetts and Rhode Island.",12
