EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
900785,NORFOLK CO.,MIDLAND,07/01/2020,1327,Lightning, , ,0,1,0,0,MA,EST-5, ,149460,C,21,BOX,0,0,Broadcast Media, , , ,1,WNW,1,WNW,MIDLAND,07/01/2020,1327,42.1045,-71.4933,42.1045,-71.4933,"A 23 year old woman was injured by a lightning strike very near her house, while she was turning on a lamp on an enclosed porch on Depot Street in Bellingham.  She was treated and released by a local hospital.","An upper level low pressure system and its associated cold pool aloft led to the development of scattered thunderstorms, one of which caused a lightning injury.",1
900947,WORCESTER CO.,COLDBROOK SPGS,07/02/2020,1644,Thunderstorm Wind,50.00, ,0,0,800,0,MA,EST-5,EG,149474,C,27,BOX,0,0,Amateur Radio, , , ,1,SW,1,SW,COLDBROOK SPGS,07/02/2020,1644,42.3914,-72.0649,42.3914,-72.0649,"In Barre, a tree was down on power lines on Route 122 (Worcester Road).","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",2
909096,BERKSHIRE CO.,PITTSFIELD,07/02/2020,1702,Thunderstorm Wind,50.00, ,0,0,0,0,MA,EST-5,EG,150789,C,3,ALY,0,0,Public, , , ,1,NW,1,NW,PITTSFIELD,07/02/2020,1702,42.46,-73.27,42.46,-73.27,"A large tree was snapped.","A severe thunderstorm moved into western Massachusetts during the evening of July 2nd, resulting in a report of tree damage.",3
900942,WORCESTER CO.,NORTH BROOKFIELD,07/02/2020,1704,Thunderstorm Wind,50.00, ,0,0,1800,0,MA,EST-5,EG,149474,C,27,BOX,0,0,Amateur Radio, , , ,2,NE,1,ENE,NORTH BROOKFIELD,07/02/2020,1705,42.2932,-72.0553,42.2727,-72.0618,"In North Brookfield, a tree was down on Route 148 near Brooks Pond Road.  Also, a large tree was down on power lines on Hillsville Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",4
900952,WORCESTER CO.,SPENCER,07/02/2020,1710,Thunderstorm Wind,50.00, ,0,0,3800,0,MA,EST-5,EG,149474,C,27,BOX,0,0,Amateur Radio, , , ,1,WSW,1,SSW,SPENCER,07/02/2020,1710,42.2436,-72.0023,42.2394,-71.9847,"In Spencer, a tree was down on a house on Ash Street.  Also, a tree was down on wires on School Street.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",5
900957,WORCESTER CO.,OAKHAM,07/02/2020,1710,Thunderstorm Wind,50.00, ,0,0,800,0,MA,EST-5,EG,149474,C,27,BOX,0,0,Amateur Radio, , , ,1,SSW,1,SSW,OAKHAM,07/02/2020,1710,42.3358,-72.0581,42.3358,-72.0581,"In Oakham, trees were down on wires on Lincoln Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",6
900959,MIDDLESEX CO.,CARLISLE,07/02/2020,1930,Thunderstorm Wind,50.00, ,0,0,3500,0,MA,EST-5,EG,149474,C,17,BOX,0,0,Amateur Radio, , , ,0,ENE,1,SE,SOUTH CHELMSFORD,07/02/2020,1931,42.5304,-71.3492,42.5614,-71.3535,"In Carlisle, a tree was down on the Police station on Lowell Street. Also, there were multiple trees down on both Curve Street and Proctor Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",7
900967,MIDDLESEX CO.,BEDFORD,07/02/2020,1931,Thunderstorm Wind,50.00, ,0,0,2000,0,MA,EST-5,EG,149474,C,17,BOX,0,0,Amateur Radio, , , ,1,NW,1,NW,BEDFORD,07/02/2020,1931,42.4877,-71.2773,42.4877,-71.2773,"In Bedford, a tree was down on a house on Hartford Street.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",8
900970,MIDDLESEX CO.,LINCOLN,07/02/2020,1940,Thunderstorm Wind,50.00, ,0,0,1300,0,MA,EST-5,EG,149474,C,17,BOX,0,0,Amateur Radio, , , ,1,N,1,N,LINCOLN,07/02/2020,1940,42.4359,-71.3001,42.4359,-71.3001,"In Lincoln, a large tree and wires were down on Bedford Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",9
900972,MIDDLESEX CO.,WESTON,07/02/2020,1947,Thunderstorm Wind,50.00, ,0,0,500,0,MA,EST-5,EG,149474,C,17,BOX,0,0,Amateur Radio, , , ,1,WSW,1,WSW,WESTON,07/02/2020,1947,42.3674,-71.2849,42.3674,-71.2849,"In Weston, a tree was down, blocking Route 20.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",10
900994,MIDDLESEX CO.,WEST NEWTON,07/02/2020,1950,Thunderstorm Wind,50.00, ,0,0,8000,0,MA,EST-5,EG,149474,C,17,BOX,0,0,Amateur Radio, , , ,0,ENE,0,E,NEWTON LOWER FALLS,07/02/2020,1950,42.351,-71.2279,42.3302,-71.2408,"In West Newton, a tree was down on a car on Columbus Place.  In the Waban section of western Newton, a tree fell onto a house on Larch Street.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",11
900999,NORFOLK CO.,BABSON PARK,07/02/2020,2000,Thunderstorm Wind,50.00, ,0,0,30000,0,MA,EST-5,EG,149474,C,21,BOX,0,0,Amateur Radio, , , ,1,N,2,SSW,WELLESLEY,07/02/2020,2000,42.319,-71.2509,42.2984,-71.2864,"In Wellesley, trees were down and into a house on Aberdeen Road.  Also, a tree was down into a house on Bobolink Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",12
901002,NORFOLK CO.,WESTWOOD,07/02/2020,2011,Thunderstorm Wind,50.00, ,0,0,500,0,MA,EST-5,EG,149474,C,21,BOX,0,0,Amateur Radio, , , ,1,N,1,N,WESTWOOD,07/02/2020,2011,42.233,-71.2195,42.233,-71.2195,"In Westwood, a tree was down on High Street (Route 109) at Dover Road.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",13
901003,NORFOLK CO.,NORFOLK,07/02/2020,2020,Thunderstorm Wind,50.00, ,0,0,500,0,MA,EST-5,EG,149474,C,21,BOX,0,0,Amateur Radio, , , ,1,N,1,N,NORFOLK,07/02/2020,2020,42.1357,-71.3218,42.1357,-71.3218,"In Norfolk, a tree was down on Cleveland Street.","Late in the afternoon and early evening, a surface trough dropped southward from New Hampshire and caused severe thunderstorms in central and eastern Massachusetts and northern Rhode Island.",14
902716,MIDDLESEX CO.,MINUTE MAN ARPT,07/05/2020,2040,Thunderstorm Wind,50.00, ,0,0,3000,0,MA,EST-5,EG,149755,C,17,BOX,0,0,Amateur Radio, , , ,1,E,1,E,MINUTE MAN ARPT,07/05/2020,2040,42.4683,-71.4948,42.4683,-71.4948,"In Acton, a tree was down on a house on Ethan Allen Drive.","A cold front and upper level trough combined to produce a few severe thunderstorms in northeast Massachusetts during the evening.",15
902717,MIDDLESEX CO.,MINUTE MAN ARPT,07/05/2020,2045,Thunderstorm Wind,50.00, ,0,0,3300,0,MA,EST-5,EG,149755,C,17,BOX,0,0,Amateur Radio, , , ,1,ENE,1,NNW,MINUTE MAN ARPT,07/05/2020,2049,42.477,-71.5002,42.4822,-71.5243,"In Boxboro, a tree was down on Saras Way. A large tree was down on Massachusetts Avenue by Stow Road and also near the fire station. A large tree and power lines were down on Pine Hill Road.","A cold front and upper level trough combined to produce a few severe thunderstorms in northeast Massachusetts during the evening.",16
902724,MIDDLESEX CO.,COCHITUATE,07/05/2020,2112,Thunderstorm Wind,50.00, ,0,0,2500,0,MA,EST-5,EG,149755,C,17,BOX,0,0,Amateur Radio, , , ,2,ENE,2,ENE,COCHITUATE,07/05/2020,2112,42.3397,-71.3376,42.3397,-71.3376,"In Wayland, multiple trees and wires were down on Rice Road at Mainstone Road.","A cold front and upper level trough combined to produce a few severe thunderstorms in northeast Massachusetts during the evening.",17
902726,MIDDLESEX CO.,GLEASONDALE,07/05/2020,2113,Thunderstorm Wind,50.00, ,0,0,3500,0,MA,EST-5,EG,149755,C,17,BOX,0,0,Amateur Radio, , , ,2,NW,2,W,STOW,07/05/2020,2113,42.4154,-71.541,42.4335,-71.5308,"In Stow, a tree was down on a house on Golden Drive.  Also, a tree was down at the intersection of Randall Road and Hudson Road.","A cold front and upper level trough combined to produce a few severe thunderstorms in northeast Massachusetts during the evening.",18
