EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1003215,NORTHERN BERKSHIRE (ZONE), ,01/05/2022,400,Winter Weather, , ,0,0,0,0,MA,EST-5, ,165923,Z,1,ALY,0,0,Department of Highways, , , , , , , , ,01/05/2022,1100, , , , ,"","A frontal boundary off the East Coast resulted in a period of light freezing rain across portions of western Massachusetts during the morning hours on Wednesday, January 5. While amounts were only around a light glaze, icy conditions resulted in slippery roads and sidewalks.||Key Impacts: travel delays.",1
1003216,SOUTHERN BERKSHIRE (ZONE), ,01/05/2022,400,Winter Weather, , ,0,0,0,0,MA,EST-5, ,165923,Z,25,ALY,0,0,Department of Highways, , , , , , , , ,01/05/2022,1200, , , , ,"","A frontal boundary off the East Coast resulted in a period of light freezing rain across portions of western Massachusetts during the morning hours on Wednesday, January 5. While amounts were only around a light glaze, icy conditions resulted in slippery roads and sidewalks.||Key Impacts: travel delays.",2
1001644,EASTERN ESSEX (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,7,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall amounts ranged from 7 to 12 inches with the highest report (12 inches) coming from Salem.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",3
1001593,NORTHERN WORCESTER (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,4,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall amounts ranged from 4 to 9 inches with the highest amount being 9 inches in Spencer.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",4
1001656,SOUTHERN PLYMOUTH (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,21,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall ranged from 6 to 7 inches with the highest amount (6.8 inches) reported in Marion.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",5
1001655,EASTERN PLYMOUTH (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,19,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall ranged from 5 to 12 inches with the highest amount (12 inches) reported in Hingham. Snowfall was higher in the north (8-12 inches) than the south (4-6 inches).","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",6
1001654,WESTERN PLYMOUTH (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,18,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall ranged from 6 to 9 inches with the highest amount (8.8 inches) reported in Whitman. Amounts were highest in northern Plymouth county (8-9 inches) than southern (4 to 6 inches).","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",7
1001653,NORTHERN BRISTOL (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,17,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall ranged from 6 to 9.5 inches with the highest amount (9.5 inches) coming from Mansfield.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",8
1001652,EASTERN NORFOLK (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,16,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall generally ranged from 9 to 15 inches with the highest amount (15.2 inches) coming from the Blue Hill Observatory.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",9
1001651,SUFFOLK (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,15,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall generally ranged from 9 to 13 inches with the highest amount (13.2 inches) reported in Jamaica Plain.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",10
1001646,WESTERN NORFOLK (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,13,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall generally ranged from 10 to 14 inches with the highest report (14.4 inches) coming from Westwood.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",11
1001645,SOUTHERN WORCESTER (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,12,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall ranged from 6 to 12 inches with the highest amount (12 inches) falling in Northbridge and Douglas.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",12
1001647,SOUTHEAST MIDDLESEX (ZONE), ,01/07/2022,0,Heavy Snow, , ,0,0,0,0,MA,EST-5, ,165674,Z,14,BOX,0,0,Amateur Radio, , , , , , , , ,01/07/2022,1600, , , , ,"Snowfall generally ranged from 5 to 8 inches. The highest report (8.7 inches) came from west Newton.","A low pressure passing southeast of New England brought widespread snow, mainly to central and eastern MA. Snow began around midnight and continued into Friday with the period of greatest snow accumulation in the early to late morning hours. This impacted travel during the morning commute. 10 to 14 inches fell in the I-95 corridor.",13
